0	1	2.97220912e-01
1	2	6.68399858e-01
1	3	7.26010710e-01
0	4	4.36569033e-02
4	5	6.27546993e-02
5	6	8.75297865e-01
5	7	3.18895356e-02
7	8	5.84489964e-01
7	9	1.50501497e-01
9	10	3.79102348e-01
10	11	6.26258337e-01
10	12	8.24044837e-01
9	13	4.62078734e-02
13	14	8.06756661e-01
13	15	4.68808077e-02
15	16	4.88419016e-01
15	17	4.28538325e-02
17	18	1.16163254e+00
17	19	1.16746452e-01
19	20	7.20706050e-01
19	21	3.49250292e-01
4	22	1.22253710e-02
22	23	6.73766877e-02
23	24	6.51715734e-02
24	25	1.96082832e-01
25	26	7.48950433e-01
25	27	9.95287163e-02
27	28	1.10399867e+00
27	29	1.09373632e-01
29	30	9.25841147e-01
29	31	6.17221122e-01
24	32	6.96904460e-02
32	33	3.34301010e-01
33	34	7.36598101e-01
33	35	6.51412145e-01
32	36	2.98685386e-02
36	37	3.49834748e-01
36	38	1.25075856e-01
38	39	8.27875582e-01
38	40	4.12477115e-01
24	41	8.34392779e-01
23	42	1.28302475e-01
42	43	4.83399919e-01
42	44	2.23858159e-01
44	45	4.46934776e-01
44	46	6.10795050e-01
22	47	9.73935887e-02
47	48	6.54302757e-01
47	49	1.76628101e-02
49	50	8.26619672e-01
49	51	1.84610556e-02
51	52	5.69758940e-01
51	53	7.94869935e-02
53	54	6.66861197e-01
53	55	2.52584365e-01
55	56	9.66653708e-01
55	57	1.82002982e-01
0	58	6.27275880e-04
58	59	5.24319785e-02
59	60	7.31547352e-02
60	61	6.70722792e-01
60	62	2.47263896e-02
62	63	8.13499286e-01
62	64	3.25569339e-02
64	65	1.10370584e-01
65	66	5.98490061e-01
65	67	9.20769353e-02
67	68	1.20551396e-01
67	69	5.64853614e-01
64	70	1.63969451e-01
70	71	8.20201398e-01
70	72	1.97108191e-01
72	73	6.95039602e-01
72	74	8.05782557e-01
59	75	5.31015652e-02
75	76	2.02838566e-01
76	77	8.77281137e-01
76	78	4.10405237e-01
75	79	5.36648429e-02
79	80	3.60598121e-01
80	81	2.89141553e-01
80	82	5.89936603e-01
79	83	3.40771753e-01
83	84	4.44079043e-01
83	85	7.65695446e-01
58	86	8.27904889e-02
86	87	2.72173953e-01
87	88	5.94919540e-01
87	89	2.10303115e-01
89	90	5.89337957e-01
89	91	4.94314770e-01
86	92	1.02253269e-01
92	93	1.09288256e+00
92	94	3.54992305e-01
94	95	5.56848160e-01
94	96	9.38529270e-01
