0	1	6.68798417e-02
1	2	4.49641683e-02
2	3	7.86682679e-02
3	4	1.93553578e-01
4	5	8.68966372e-01
4	6	4.18063105e-01
3	7	4.55339919e-02
7	8	3.42602608e-01
8	9	7.42231901e-01
8	10	4.69194888e-01
7	11	2.27861485e-02
11	12	7.26539035e-01
11	13	3.46442373e-01
13	14	5.84123565e-01
13	15	2.98750490e-01
2	16	6.83782759e-02
16	17	6.72195675e-01
16	18	6.37255907e-02
18	19	1.22415601e-01
19	20	6.28861951e-01
19	21	1.15811297e-01
21	22	6.50671705e-01
21	23	2.85125750e-02
18	24	1.15686153e-01
24	25	8.44214531e-01
24	26	1.81149519e-01
26	27	7.55090652e-01
26	28	7.43992570e-01
1	29	1.52960404e-02
29	30	2.52918535e-01
30	31	7.19243812e-01
30	32	6.74693084e-01
29	33	7.73633170e-02
33	34	2.70579671e-01
34	35	6.47282892e-01
34	36	1.54979205e-01
36	37	6.15565133e-01
36	38	4.70533052e-01
33	39	9.56925480e-02
39	40	1.07298628e+00
39	41	3.67284103e-01
41	42	9.10848318e-01
41	43	5.86664519e-01
0	44	9.88480054e-02
44	45	4.96610882e-03
45	46	8.26614887e-01
45	47	2.77699266e-02
47	48	5.72510536e-01
47	49	6.61553741e-02
49	50	6.40532463e-01
49	51	2.90272246e-01
51	52	9.85982623e-01
51	53	1.52464147e-01
44	54	6.61234915e-01
0	55	1.94110226e-02
55	56	5.20136041e-02
56	57	8.92605977e-01
56	58	3.60828025e-02
58	59	5.60417266e-01
58	60	1.94114278e-01
60	61	4.50763626e-02
61	62	1.14115363e+00
61	63	4.40242648e-02
63	64	5.08314293e-01
63	65	1.15188612e-01
65	66	6.70459501e-01
65	67	3.98736382e-01
60	68	8.09934035e-02
68	69	7.37461740e-01
68	70	3.32881238e-01
70	71	1.05743272e+00
70	72	3.98139886e-01
55	73	6.18385081e-02
73	74	1.29319789e-01
74	75	4.83309803e-01
74	76	2.22248147e-01
76	77	6.55840189e-01
76	78	4.04353414e-01
73	79	5.68530085e-02
79	80	8.08661133e-01
79	81	2.73297087e-02
81	82	2.05517927e-01
82	83	7.07943276e-01
82	84	1.48383827e-01
84	85	7.41789463e-01
84	86	1.13108697e-01
86	87	8.13841010e-01
86	88	1.03233356e+00
81	89	3.22916941e-02
89	90	3.03137142e-01
90	91	7.39630494e-01
90	92	6.47572989e-01
89	93	5.73146704e-02
93	94	3.54106790e-01
93	95	1.30337134e-01
95	96	8.45648530e-01
95	97	3.93714544e-01
