0	1	2.70219805e-01
1	2	6.71631803e-01
1	3	7.21775212e-01
0	4	6.56146617e-02
4	5	5.94983388e-02
5	6	8.79509470e-01
5	7	3.30800610e-02
7	8	5.66333702e-01
7	9	1.78820062e-01
9	10	3.62371401e-01
10	11	4.45609530e-01
10	12	1.00951833e+00
9	13	4.64533548e-02
13	14	7.94852499e-01
13	15	4.98891931e-02
15	16	5.24514639e-01
15	17	2.01280166e-02
17	18	1.13527040e+00
17	19	1.14818853e-01
19	20	6.76323016e-01
19	21	3.92311161e-01
4	22	1.02894848e-02
22	23	6.40622296e-02
23	24	7.49732115e-02
24	25	2.03612744e-01
25	26	7.14356075e-01
25	27	1.39205576e-01
27	28	1.09136968e+00
27	29	8.75832743e-02
29	30	8.48797629e-01
29	31	6.99355631e-01
24	32	4.30872924e-02
32	33	3.02756643e-01
33	34	7.44198393e-01
33	35	6.42142947e-01
32	36	6.04080733e-02
36	37	3.49713350e-01
36	38	1.31565799e-01
38	39	8.44151615e-01
38	40	3.96686735e-01
24	41	8.16304727e-01
23	42	1.25193735e-01
42	43	4.80017132e-01
42	44	2.24707817e-01
44	45	4.13348796e-01
44	46	6.47094758e-01
22	47	1.01814632e-01
47	48	6.65053029e-01
47	49	1.38600383e-02
49	50	8.22880150e-01
49	51	1.86453427e-02
51	52	5.71537413e-01
51	53	6.50900306e-02
53	54	6.43282012e-01
53	55	2.87575070e-01
55	56	9.78787671e-01
55	57	1.60956137e-01
0	58	6.22323325e-04
58	59	5.43772037e-02
59	60	7.09465371e-02
60	61	6.79196062e-01
60	62	1.84346770e-02
62	63	7.79783745e-01
62	64	5.88186141e-02
64	65	1.34113921e-01
65	66	6.32660481e-01
65	67	1.17090984e-01
67	68	2.25270896e-02
67	69	6.56842730e-01
64	70	1.08167896e-01
70	71	8.58745678e-01
70	72	1.61145628e-01
72	73	7.39352137e-01
72	74	7.61680072e-01
59	75	5.12797683e-02
75	76	2.01142240e-01
76	77	8.66574952e-01
76	78	4.19178483e-01
75	79	5.38324860e-02
79	80	3.60166813e-01
80	81	2.91399856e-01
80	82	5.91236565e-01
79	83	3.38090206e-01
83	84	4.52435953e-01
83	85	7.58578684e-01
58	86	8.61519540e-02
86	87	2.65428955e-01
87	88	6.35824356e-01
87	89	1.71562330e-01
89	90	6.15250270e-01
89	91	4.67788805e-01
86	92	9.48932884e-02
92	93	1.07529698e+00
92	94	3.68791087e-01
94	95	5.90250752e-01
94	96	9.07276614e-01
